Year,Laureate_Id,Firstname,Lastname,Category,Prize_Share,Motivation,Gender,Birth_Date,Birth_Country,Birth_City,Death_Date,Death_Country,Death_City,Birth_Country_Code,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
1912,172,Victor,Grignard,chemistry,2,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",male,1871-05-06,France,Cherbourg,13/12/1935,France,Lyon,FR,FR,Nancy University,Nancy,France
1912,17,Gustaf,Dalén,physics,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",male,1869-11-30,Sweden,Stenstorp,09/12/1937,Sweden,Stockholm,SE,SE,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden
1912,480,Elihu,Root,peace,1,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",male,1845-02-15,USA,Clinton NY,07/02/1937,USA,New York NY,US,US,,,
1913,307,Charles,Richet,medicine,1,"""in recognition of his work on anaphylaxis""",male,1850-08-26,France,Paris,04/12/1935,France,Paris,FR,FR,Sorbonne University,Paris,France
1913,174,Alfred,Werner,chemistry,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",male,1866-12-12,France,Mulhouse,15/11/1919,Switzerland,Zurich,FR,CH,University of Zurich,Zurich,Switzerland
1913,481,Henri,La Fontaine,peace,1,"""for his unparalleled contribution to the organization of peaceful internationalism""",male,1854-04-22,Belgium,Brussels,14/05/1943,Belgium,Brussels,BE,BE,,,
1913,583,Rabindranath,Tagore,literature,1,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",male,1861-05-07,India,Calcutta,07/08/1941,India,Calcutta,IN,IN,,,
1913,18,Heike,Kamerlingh Onnes,physics,1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",male,1853-09-21,the Netherlands,Groningen,21/02/1926,the Netherlands,Leiden,NL,NL,Leiden University,Leiden,the Netherlands
1914,19,Max,von Laue,physics,1,"""for his discovery of the diffraction of X-rays by crystals""",male,1879-10-09,Germany,Pfaffendorf,23/04/1960,West Germany (now Germany),Berlin,DE,DE,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany
1914,308,Robert,Bárány,medicine,1,"""for his work on the physiology and pathology of the vestibular apparatus""",male,1876-04-22,Austria,Vienna,08/04/1936,Sweden,Uppsala,AT,SE,Vienna University,Vienna,Austria
1914,175,Theodore W.,Richards,chemistry,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",male,1868-01-31,USA,Germantown PA,02/04/1928,USA,Cambridge MA,US,US,Harvard University,Cambridge MA,USA
1915,20,William,Bragg,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",male,1862-07-02,United Kingdom,Wigton,12/03/1942,United Kingdom,London,GB,GB,University College,London,United Kingdom
1915,21,Lawrence,Bragg,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",male,1890-03-31,Australia,Adelaide,01/07/1971,United Kingdom,Ipswich,AU,GB,Victoria University,Manchester,United Kingdom
1915,176,Richard,Willstätter,chemistry,1,"""for his researches on plant pigments especially chlorophyll""",male,1872-08-13,Germany,Karlsruhe,03/08/1942,Switzerland,Locarno,DE,CH,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany
1915,584,Romain,Rolland,literature,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",male,1866-01-29,France,Clamecy,30/12/1944,France,Vézelay,FR,FR,,,
1916,585,Verner,von Heidenstam,literature,1,"""in recognition of his significance as the leading representative of a new era in our literature""",male,1859-07-06,Sweden,Olshammar,20/05/1940,Sweden,Övralid,SE,SE,,,
1917,482,International Committee of the Red Cross,,peace,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",org,1863-00-00,,,0000-00-00,,,,,,,
1917,22,Charles Glover,Barkla,physics,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",male,1877-06-07,United Kingdom,Widnes,23/10/1944,Scotland,Edinburgh,GB,GB,Edinburgh University,Edinburgh,United Kingdom
1917,586,Karl,Gjellerup,literature,2,"""for his varied and rich poetry which is inspired by lofty ideals""",male,1857-06-02,Denmark,Roholte,11/10/1919,Germany,Klotzsche,DK,DE,,,
1917,587,Henrik,Pontoppidan,literature,2,"""for his authentic descriptions of present-day life in Denmark""",male,1857-07-24,Denmark,Fredericia,21/08/1943,Denmark,Ordrup,DK,DK,,,
1918,23,Max,Planck,physics,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",male,1858-04-23,Schleswig (now Germany),Kiel,04/10/1947,West Germany (now Germany),Göttingen,DE,DE,Berlin University,Berlin,Germany
1918,177,Fritz,Haber,chemistry,1,"""for the synthesis of ammonia from its elements""",male,1868-12-09,Prussia (now Poland),Breslau (now Wroclaw),29/01/1934,Switzerland,Basel,PL,CH,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany
1919,483,Woodrow,Wilson,peace,1,"""for his role as founder of the League of Nations""",male,1856-12-28,USA,Staunton VA,03/02/1924,USA,Washington D.C.,US,US,,,
1919,309,Jules,Bordet,medicine,1,"""for his discoveries relating to immunity""",male,1870-06-13,Belgium,Soignies,06/04/1961,Belgium,Brussels,BE,BE,Brussels University,Brussels,Belgium
1919,24,Johannes,Stark,physics,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",male,1874-04-15,Germany,Schickenhof,21/06/1957,West Germany (now Germany),Traunstein,DE,DE,Greifswald University,Greifswald,Germany
1919,588,Carl,Spitteler,literature,1,"""in special appreciation of his epic <I>Olympian Spring</I>""",male,1845-04-24,Switzerland,Liestal,29/12/1924,Switzerland,Lucerne,CH,CH,,,
1920,25,Charles Edouard,Guillaume,physics,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",male,1861-02-15,Switzerland,Fleurier,13/06/1938,France,Sèvres,CH,FR,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France
1920,178,Walther,Nernst,chemistry,1,"""in recognition of his work in thermochemistry""",male,1864-06-25,Prussia (now Poland),Briesen (now Wąbrzeźno),18/11/1941,Germany,Muskau,PL,DE,Berlin University,Berlin,Germany
1920,310,August,Krogh,medicine,1,"""for his discovery of the capillary motor regulating mechanism""",male,1874-11-15,Denmark,Grenå,13/09/1949,Denmark,Copenhagen,DK,DK,Copenhagen University,Copenhagen,Denmark
1920,484,Léon,Bourgeois,peace,1,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",male,1851-05-21,France,Paris,29/09/1925,France,Épernay,FR,FR,,,
1920,589,Knut,Hamsun,literature,1,"""for his monumental work <I>Growth of the Soil</I>""",male,1859-08-04,Norway,Lom,19/02/1952,Norway,Grimstad,NO,NO,,,
1921,590,Anatole,France,literature,1,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",male,1844-04-16,France,Paris,12/10/1924,France,Saint-Cyr-sur-Loire,FR,FR,,,
1921,485,Hjalmar,Branting,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",male,1860-11-23,Sweden,Stockholm,24/02/1925,Sweden,Stockholm,SE,SE,,,
1921,26,Albert,Einstein,physics,1,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",male,1879-03-14,Germany,Ulm,18/04/1955,USA,Princeton NJ,DE,US,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany
1921,179,Frederick,Soddy,chemistry,1,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",male,1877-09-02,United Kingdom,Eastbourne,22/09/1956,United Kingdom,Brighton,GB,GB,University of Oxford,Oxford,United Kingdom
1921,486,Christian,Lange,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",male,1869-09-17,Norway,Stavanger,11/12/1938,Norway,Oslo,NO,NO,,,
1922,27,Niels,Bohr,physics,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",male,1885-10-07,Denmark,Copenhagen,18/11/1962,Denmark,Copenhagen,DK,DK,Copenhagen University,Copenhagen,Denmark
1922,487,Fridtjof,Nansen,peace,1,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",male,1861-10-10,Norway,Kristiania (now Oslo),13/05/1930,Norway,Oslo,NO,NO,,,
1922,180,Francis W.,Aston,chemistry,1,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""",male,1877-09-01,United Kingdom,Harborne,20/11/1945,United Kingdom,Cambridge,GB,GB,University of Cambridge,Cambridge,United Kingdom
1922,312,Otto,Meyerhof,medicine,2,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",male,1884-04-12,Germany,Hanover,06/10/1951,USA,Philadelphia PA,DE,US,Kiel University,Kiel,Germany
1922,592,Jacinto,Benavente,literature,1,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",male,1866-08-12,Spain,Madrid,14/07/1954,Spain,Madrid,ES,ES,,,
1922,311,Archibald V.,Hill,medicine,2,"""for his discovery relating to the production of heat in the muscle""",male,1886-09-26,United Kingdom,Bristol,03/06/1977,United Kingdom,Cambridge,GB,GB,London University,London,United Kingdom
1923,313,Frederick G.,Banting,medicine,2,"""for the discovery of insulin""",male,1891-11-14,Canada,Alliston,21/02/1941,Canada,Newfoundland,CA,CA,University of Toronto,Toronto,Canada
1923,314,John,Macleod,medicine,2,"""for the discovery of insulin""",male,1876-09-06,Scotland,Cluny,16/03/1935,Scotland,Aberdeen,GB,GB,University of Toronto,Toronto,Canada
1923,28,Robert A.,Millikan,physics,1,"""for his work on the elementary charge of electricity and on the photoelectric effect""",male,1868-03-22,USA,Morrison IL,19/12/1953,USA,San Marino CA,US,US,California Institute of Technology (Caltech),Pasadena CA,USA
1923,181,Fritz,Pregl,chemistry,1,"""for his invention of the method of micro-analysis of organic substances""",male,1869-09-03,Austria-Hungary (now Slovenia),Laibach (now Ljubljana),13/12/1930,Austria,Graz,SI,AT,Graz University,Graz,Austria
1923,593,William Butler,Yeats,literature,1,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation""",male,1865-06-13,Ireland,Dublin,28/01/1939,France,Roquebrune-Cap-Martin,IE,FR,,,
1924,594,Wladyslaw,Reymont,literature,1,"""for his great national epic <I>The Peasants</I>""",male,1867-05-07,Russian Empire (now Poland),Kobiele Wielkie,05/12/1925,Poland,Warsaw,PL,PL,,,
